Player,ID,League
Ben-Simmons,41364,NCAA
Jabari-Parker,24302,NCAA
Danny-Granger,242,NCAA
Antawn-Dobie,20588,NCAA
Roddy-Peters,42281,NCAA
Earl-Hunt,12371,NCAA
Desmon-Farmer,874,NCAA
Ben-Gordon,214,NCAA
Gage-Davis,81494,NCAA
Semi-Ojeleye,41446,NCAA
Chris-Davis,20275,NCAA
Ryan-Schneider,18021,NCAA
Alec-Burks,4169,NCAA
Sedale-Jones,10598,NCAA
Denzel-Bowles,4286,NCAA
James-Harden,1598,NCAA
Kevin-Palmer,10158,NCAA
Brandon-McCoy,88822,NCAA
Dominique-Jones,6412,NCAA
Brett-Winkelman,12953,NCAA
Blake-Griffin,1596,NCAA
Pancake-Thomas,42634,NCAA
Jeremy-Hazell,6371,NCAA
Dewarick-Spencer,19753,NCAA
Jaycee-Carroll,1795,NCAA
Rob-Gray,24694,NCAA
Nick-Fazekas,343,NCAA
Davon-Usher,45849,NCAA
BJ-Johnson,56795,NCAA
Nick-Dixon,97619,NCAA
Kyle-Randall,21378,NCAA
Ryan-Anderson,776,NCAA
John-Brown,31183,NCAA
Caleb-Martin,80111,NCAA
Charles-Garcia,8224,NCAA
Jimmer-Fredette,9263,NCAA
Leroy-Hurd,22135,NCAA
Artsiom-Parakhouski,8225,NCAA
Cedrick-Banks,3462,NCAA
Cane-Broome,81749,NCAA
Ethan-Telfair,89990,NCAA
Seth-Doliboa,15834,NCAA
DeMarcus-Threatt,80901,NCAA
Antoine-Agudio,9432,NCAA
Marcus-Romain,101261,NCAA
DeMario-Anderson,20488,NCAA
Tyler-Harvey,31059,NCAA
Torrey-Butler,16011,NCAA
Torian-Graham,24286,NCAA
Brandon-Goodwin,56935,NCAA
Damian-Lillard,13809,NCAA
Hakim-Warrick,193,NCAA
Odell-Bradley,12925,NCAA
Kyle-Wiltjer,24155,NCAA
Rawle-Marshall,1053,NCAA
Dikembe-Dixson,84043,NCAA
Paul-Millsap,112,NCAA
Luke-Jackson,380,NCAA
Marcus-Foster,59224,NCAA
Jahii-Carson,24183,NCAA
GeLawn-Guyn,30342,NCAA
Desmond-Holloway,22741,NCAA
Mike-Bell,4984,NCAA
Cameron-Payne,57476,NCAA
RaKim-Hollis,15350,NCAA
